Date,Open,High,Low,Close,Adj Close,Volume
2015-10-22,10342.750000,10467.110352,10342.750000,10448.830078,10448.830078,4430850000
2015-10-23,10486.940430,10519.830078,10450.440430,10506.509766,10506.509766,4108460000
2015-10-26,10495.910156,10495.910156,10458.059570,10464.620117,10464.620117,3385800000
2015-10-27,10420.750000,10427.750000,10364.919922,10400.179688,10400.179688,4216880000
2015-10-28,10428.030273,10538.219727,10409.459961,10538.200195,10538.200195,4698110000
2015-10-29,10504.349609,10514.440430,10466.209961,10498.160156,10498.160156,4008940000
2015-10-30,10509.150391,10531.429688,10460.830078,10460.959961,10460.959961,4256200000
2015-11-02,10474.580078,10591.250000,10473.839844,10579.870117,10579.870117,3760020000
2015-11-03,10556.360352,10641.620117,10542.209961,10609.919922,10609.919922,4272060000
2015-11-04,10629.589844,10638.690430,10536.480469,10563.959961,10563.959961,4078870000
2015-11-05,10563.929688,10588.129883,10501.309570,10548.360352,10548.360352,4051890000
2015-11-06,10525.650391,10531.110352,10441.839844,10513.360352,10513.360352,4369020000
2015-11-09,10486.719727,10488.200195,10381.410156,10415.190430,10415.190430,3882350000
2015-11-10,10389.179688,10440.230469,10370.669922,10432.349609,10432.349609,3821440000
2015-11-11,10454.150391,10460.349609,10396.790039,10399.900391,10399.900391,3692410000
2015-11-12,10335.000000,10342.870117,10235.200195,10235.950195,10235.950195,4016370000
2015-11-13,10206.540039,10228.889648,10145.650391,10155.070313,10155.070313,4278750000
2015-11-16,10143.379883,10299.459961,10141.549805,10299.400391,10299.400391,3741240000
2015-11-17,10320.059570,10368.379883,10266.559570,10285.759766,10285.759766,4427350000
2015-11-18,10285.370117,10436.000000,10285.370117,10429.599609,10429.599609,3926390000
2015-11-19,10426.129883,10455.190430,10416.370117,10431.459961,10431.459961,3628110000
2015-11-20,10460.250000,10499.049805,10430.059570,10444.200195,10444.200195,3929600000
2015-11-23,10433.629883,10469.620117,10402.459961,10421.410156,10421.410156,3587980000
2015-11-24,10379.269531,10472.790039,10358.030273,10449.719727,10449.719727,3884930000
2015-11-25,10449.679688,10471.280273,10430.139648,10450.360352,10450.360352,2852940000
2015-11-27,10442.610352,10463.969727,10425.559570,10450.530273,10450.530273,1466840000
2015-11-30,10455.480469,10460.330078,10409.459961,10409.589844,10409.589844,4275030000
2015-12-01,10447.059570,10523.790039,10446.580078,10519.589844,10519.589844,3712120000
2015-12-02,10501.099609,10511.120117,10376.450195,10389.200195,10389.200195,3950640000
